#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 144.603 0 130.397
0.1 0.0490633 144.602 0.0224362 130.398
0.2 0.0981266 144.602 0.0448723 130.398
0.3 0.14719 144.602 0.0673081 130.398
0.4 0.196253 144.601 0.0897436 130.399
0.5 0.245317 144.6 0.112179 130.4
0.6 0.29438 144.599 0.134613 130.401
0.7 0.343443 144.597 0.157047 130.403
0.8 0.392507 144.596 0.179479 130.404
0.9 0.44157 144.594 0.201911 130.406
1 0.490633 144.592 0.224342 130.408
1.1 0.539697 144.589 0.246771 130.411
1.2 0.58876 144.587 0.2692 130.413
1.3 0.637824 144.584 0.291626 130.416
1.4 0.686887 144.581 0.314051 130.419
1.5 0.735951 144.578 0.336475 130.422
1.6 0.785015 144.574 0.358896 130.426
1.7 0.834078 144.571 0.381316 130.429
1.8 0.883142 144.567 0.403734 130.433
1.9 0.932206 144.563 0.426149 130.437
2 0.98127 144.559 0.448562 130.441
2.1 1.03033 144.554 0.470972 130.446
2.2 1.0794 144.549 0.49338 130.451
2.3 1.12846 144.544 0.515786 130.456
2.4 1.17753 144.539 0.538188 130.461
2.5 1.22659 144.534 0.560588 130.466
2.6 1.27565 144.528 0.582985 130.472
2.7 1.32472 144.522 0.605378 130.478
2.8 1.37378 144.516 0.627768 130.484
2.9 1.42285 144.51 0.650155 130.49
3 1.47191 144.504 0.672538 130.496
3.1 1.52098 144.497 0.694917 130.503
3.2 1.57004 144.49 0.717293 130.51
3.3 1.61911 144.483 0.739665 130.517
3.4 1.66817 144.475 0.762033 130.525
3.5 1.71724 144.468 0.784396 130.532
3.6 1.7663 144.46 0.806756 130.54
3.7 1.81537 144.452 0.829111 130.548
3.8 1.86443 144.444 0.851461 130.556
3.9 1.9135 144.435 0.873807 130.565
4 1.96256 144.426 0.896148 130.574
4.1 2.01163 144.418 0.918484 130.582
4.2 2.06069 144.408 0.940816 130.592
4.3 2.10976 144.399 0.963142 130.601
4.4 2.15882 144.39 0.985463 130.61
4.5 2.20789 144.38 1.00778 130.62
4.6 2.25696 144.37 1.03009 130.63
4.7 2.30602 144.359 1.05239 130.641
4.8 2.35509 144.349 1.07469 130.651
4.9 2.40416 144.338 1.09698 130.662
5 2.45322 144.327 1.11927 130.673
5.1 2.50229 144.316 1.14155 130.684
5.2 2.55136 144.305 1.16383 130.695
5.3 2.60042 144.293 1.1861 130.707
5.4 2.64949 144.282 1.20836 130.718
5.5 2.69856 144.27 1.23061 130.73
5.6 2.74763 144.258 1.25286 130.742
5.7 2.79669 144.245 1.2751 130.755
5.8 2.84576 144.232 1.29734 130.768
5.9 2.89483 144.22 1.31957 130.78
6 2.9439 144.207 1.34179 130.793
6.1 2.99297 144.193 1.364 130.807
6.2 3.04203 144.18 1.38621 130.82
6.3 3.0911 144.166 1.40841 130.834
6.4 3.14017 144.152 1.4306 130.848
6.5 3.18924 144.138 1.45278 130.862
6.6 3.23831 144.123 1.47496 130.877
6.7 3.28738 144.109 1.49712 130.891
6.8 3.33645 144.094 1.51928 130.906
6.9 3.38552 144.079 1.54144 130.921
7 3.43459 144.064 1.56358 130.936
7.1 3.48366 144.048 1.58571 130.952
7.2 3.53273 144.032 1.60784 130.968
7.3 3.5818 144.017 1.62996 130.983
7.4 3.63087 144 1.65206 131
7.5 3.67994 143.984 1.67416 131.016
7.6 3.72901 143.967 1.69625 131.033
7.7 3.77808 143.951 1.71834 131.049
7.8 3.82716 143.934 1.74041 131.066
7.9 3.87623 143.916 1.76247 131.084
8 3.9253 143.899 1.78452 131.101
8.1 3.97437 143.881 1.80657 131.119
8.2 4.02344 143.863 1.8286 131.137
8.3 4.07252 143.845 1.85062 131.155
8.4 4.12159 143.827 1.87264 131.173
8.5 4.17066 143.808 1.89464 131.192
8.6 4.21974 143.79 1.91663 131.21
8.7 4.26881 143.771 1.93862 131.229
