#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 67.7 0 0
0.1 0.0499244 67.6999 89.9499 5.15565e-05
0.2 0.0998489 67.6998 89.8998 0.000206226
0.3 0.149773 67.6995 89.8498 0.000464007
0.4 0.199698 67.6992 89.7997 0.000824901
0.5 0.249622 67.6987 89.7496 0.0012889
0.6 0.299547 67.6981 89.6995 0.00185602
0.7 0.349471 67.6975 89.6495 0.00252624
0.8 0.399396 67.6967 89.5994 0.00329956
0.9 0.44932 67.6958 89.5493 0.00417599
1 0.499244 67.6948 89.4992 0.00515552
1.1 0.549169 67.6938 89.4492 0.00623814
1.2 0.599093 67.6926 89.3991 0.00742386
1.3 0.649018 67.6913 89.349 0.00871267
1.4 0.698942 67.6899 89.2989 0.0101046
1.5 0.748867 67.6884 89.2489 0.0115995
1.6 0.798791 67.6868 89.1988 0.0131976
1.7 0.848716 67.6851 89.1487 0.0148987
1.8 0.89864 67.6833 89.0986 0.0167029
1.9 0.948565 67.6814 89.0486 0.0186102
2 0.998489 67.6794 88.9985 0.0206205
2.1 1.04841 67.6773 88.9484 0.0227339
2.2 1.09834 67.675 88.8983 0.0249503
2.3 1.14826 67.6727 88.8483 0.0272697
2.4 1.19819 67.6703 88.7982 0.0296922
2.5 1.24811 67.6678 88.7481 0.0322177
2.6 1.29804 67.6652 88.698 0.0348462
2.7 1.34796 67.6624 88.648 0.0375777
2.8 1.39789 67.6596 88.5979 0.0404123
2.9 1.44781 67.6567 88.5478 0.0433498
3 1.49773 67.6536 88.4977 0.0463902
3.1 1.54766 67.6505 88.4477 0.0495337
3.2 1.59758 67.6472 88.3976 0.0527801
3.3 1.64751 67.6439 88.3475 0.0561295
3.4 1.69743 67.6404 88.2974 0.0595818
3.5 1.74736 67.6369 88.2474 0.0631371
3.6 1.79728 67.6332 88.1973 0.0667952
3.7 1.84721 67.6294 88.1472 0.0705563
3.8 1.89713 67.6256 88.0971 0.0744203
3.9 1.94706 67.6216 88.0471 0.0783872
4 1.99698 67.6175 87.997 0.0824569
4.1 2.0469 67.6134 87.9469 0.0866295
4.2 2.09683 67.6091 87.8968 0.0909049
4.3 2.14675 67.6047 87.8467 0.0952832
4.4 2.19668 67.6002 87.7967 0.0997643
4.5 2.2466 67.5957 87.7466 0.104348
4.6 2.29653 67.591 87.6965 0.109035
4.7 2.34645 67.5862 87.6464 0.113824
4.8 2.39638 67.5813 87.5964 0.118717
4.9 2.4463 67.5763 87.5463 0.123712
5 2.49623 67.5712 87.4962 0.128809
5.1 2.54615 67.566 87.4461 0.13401
5.2 2.59608 67.5607 87.3961 0.139313
5.3 2.646 67.5553 87.346 0.144719
5.4 2.69593 67.5498 87.2959 0.150227
5.5 2.74585 67.5442 87.2458 0.155839
5.6 2.79578 67.5384 87.1958 0.161553
5.7 2.8457 67.5326 87.1457 0.167369
5.8 2.89563 67.5267 87.0956 0.173288
5.9 2.94555 67.5207 87.0455 0.17931
6 2.99547 67.5146 86.9955 0.185434
6.1 3.0454 67.5083 86.9454 0.191661
6.2 3.09532 67.502 86.8953 0.19799
6.3 3.14525 67.4956 86.8452 0.204422
6.4 3.19517 67.489 86.7952 0.210956
6.5 3.2451 67.4824 86.7451 0.217593
6.6 3.29502 67.4757 86.695 0.224332
6.7 3.34495 67.4688 86.6449 0.231174
6.8 3.39487 67.4619 86.5949 0.238118
6.9 3.4448 67.4548 86.5448 0.245164
7 3.49472 67.4477 86.4947 0.252313
7.1 3.54465 67.4404 86.4446 0.259564
7.2 3.59457 67.4331 86.3946 0.266917
7.3 3.6445 67.4256 86.3445 0.274373
7.4 3.69442 67.4181 86.2944 0.281931
7.5 3.74435 67.4104 86.2443 0.289591
7.6 3.79427 67.4026 86.1943 0.297354
7.7 3.8442 67.3948 86.1442 0.305219
7.8 3.89412 67.3868 86.0941 0.313186
7.9 3.94405 67.3787 86.044 0.321255
8 3.99398 67.3706 85.994 0.329426
8.1 4.0439 67.3623 85.9439 0.337699
8.2 4.09383 67.3539 85.8938 0.346075
8.3 4.14375 67.3454 85.8437 0.354552
8.4 4.19368 67.3369 85.7937 0.363132
8.5 4.2436 67.3282 85.7436 0.371813
8.6 4.29353 67.3194 85.6935 0.380597
8.7 4.34345 67.3105 85.6434 0.389482
8.8 4.39338 67.3015 85.5934 0.398469
8.9 4.4433 67.2924 85.5433 0.407559
9 4.49323 67.2833 85.4932 0.41675
9.1 4.54315 67.274 85.4431 0.426043
9.2 4.59308 67.2646 85.3931 0.435437
9.3 4.643 67.2551 85.343 0.444934
9.4 4.69293 67.2455 85.2929 0.454532
9.5 4.74285 67.2358 85.2428 0.464232
9.6 4.79278 67.226 85.1928 0.474034
9.7 4.84271 67.2161 85.1427 0.483938
9.8 4.89263 67.2061 85.0926 0.493943
9.9 4.94256 67.196 85.0425 0.504049
10 4.99248 67.1857 84.9925 0.514258
10.1 5.04241 67.1754 84.9424 0.524567
10.2 5.09233 67.165 84.8923 0.534979
10.3 5.14226 67.1545 84.8422 0.545491
10.4 5.19219 67.1439 84.7922 0.556106
10.5 5.24211 67.1332 84.7421 0.566821
10.6 5.29204 67.1224 84.692 0.577638
10.7 5.34196 67.1114 84.642 0.588557
10.8 5.39189 67.1004 84.5919 0.599577
10.9 5.44181 67.0893 84.5418 0.610698
11 5.49174 67.0781 84.4917 0.62192
11.1 5.54167 67.0668 84.4417 0.633243
11.2 5.59159 67.0553 84.3916 0.644668
11.3 5.64152 67.0438 84.3415 0.656194
11.4 5.69144 67.0322 84.2914 0.667821
11.5 5.74137 67.0205 84.2414 0.679549
11.6 5.7913 67.0086 84.1913 0.691378
11.7 5.84122 66.9967 84.1412 0.703308
11.8 5.89115 66.9847 84.0911 0.715339
11.9 5.94107 66.9725 84.0411 0.727471
12 5.991 66.9603 83.991 0.739704
12.1 6.04093 66.948 83.9409 0.752037
12.2 6.09085 66.9355 83.8908 0.764472
12.3 6.14078 66.923 83.8408 0.777007
12.4 6.1907 66.9104 83.7907 0.789643
12.5 6.24063 66.8976 83.7406 0.80238
