#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 63.1813 0 0.0786815
0.1 0.048175 63.1813 1.36652 0.0787295
0.2 0.09635 63.1811 2.7313 0.0788737
0.3 0.144525 63.1809 4.09265 0.079114
0.4 0.1927 63.1805 5.44886 0.0794503
0.5 0.240875 63.1801 6.79829 0.0798828
0.6 0.28905 63.1796 8.13932 0.0804115
0.7 0.337225 63.179 9.47042 0.0810362
0.8 0.3854 63.1782 10.7901 0.081757
0.9 0.433575 63.1774 12.097 0.0825739
1 0.48175 63.1765 13.3897 0.0834869
1.1 0.529925 63.1755 14.6671 0.0844961
1.2 0.5781 63.1744 15.9279 0.0856013
1.3 0.626274 63.1732 17.1713 0.0868026
1.4 0.674449 63.1719 18.3961 0.0881
1.5 0.722624 63.1705 19.6017 0.0894935
1.6 0.770799 63.169 20.7872 0.090983
1.7 0.818973 63.1674 21.9519 0.0925686
1.8 0.867148 63.1657 23.0955 0.0942503
1.9 0.915323 63.164 24.2173 0.0960281
2 0.963497 63.1621 25.3171 0.0979019
2.1 1.01167 63.1601 26.3945 0.0998718
2.2 1.05985 63.1581 27.4494 0.101938
2.3 1.10802 63.1559 28.4816 0.1041
2.4 1.15619 63.1536 29.4911 0.106358
2.5 1.20437 63.1513 30.4778 0.108712
2.6 1.25254 63.1488 31.4419 0.111162
2.7 1.30072 63.1463 32.3835 0.113708
2.8 1.34889 63.1437 33.3027 0.11635
2.9 1.39707 63.1409 34.1997 0.119088
3 1.44524 63.1381 35.0749 0.121922
3.1 1.49341 63.1351 35.9284 0.124852
3.2 1.54159 63.1321 36.7607 0.127878
3.3 1.58976 63.129 37.572 0.131
3.4 1.63793 63.1258 38.3627 0.134218
3.5 1.68611 63.1225 39.1332 0.137532
3.6 1.73428 63.1191 39.8838 0.140942
3.7 1.78246 63.1156 40.6151 0.144447
3.8 1.83063 63.112 41.3274 0.148049
3.9 1.8788 63.1083 42.0211 0.151747
4 1.92697 63.1045 42.6967 0.15554
4.1 1.97515 63.1006 43.3546 0.159429
4.2 2.02332 63.0966 43.9952 0.163414
4.3 2.07149 63.0925 44.619 0.167495
4.4 2.11967 63.0883 45.2264 0.171672
4.5 2.16784 63.0841 45.8178 0.175945
4.6 2.21601 63.0797 46.3936 0.180314
4.7 2.26418 63.0752 46.9543 0.184778
4.8 2.31236 63.0707 47.5003 0.189338
4.9 2.36053 63.066 48.0319 0.193994
5 2.4087 63.0613 48.5496 0.198745
5.1 2.45687 63.0564 49.0538 0.203593
5.2 2.50504 63.0515 49.5447 0.208536
5.3 2.55322 63.0464 50.0229 0.213575
5.4 2.60139 63.0413 50.4887 0.218709
5.5 2.64956 63.0361 50.9423 0.223939
5.6 2.69773 63.0307 51.3843 0.229265
5.7 2.7459 63.0253 51.8148 0.234687
5.8 2.79407 63.0198 52.2343 0.240204
5.9 2.84224 63.0142 52.643 0.245817
6 2.89041 63.0085 53.0413 0.251525
6.1 2.93858 63.0027 53.4294 0.257329
6.2 2.98675 62.9968 53.8077 0.263229
6.3 3.03492 62.9908 54.1764 0.269224
6.4 3.08309 62.9847 54.5358 0.275315
6.5 3.13126 62.9785 54.8862 0.281501
6.6 3.17943 62.9722 55.2278 0.287782
6.7 3.2276 62.9658 55.5609 0.294159
6.8 3.27577 62.9594 55.8857 0.300632
6.9 3.32394 62.9528 56.2025 0.3072
7 3.37211 62.9461 56.5114 0.313863
7.1 3.42028 62.9394 56.8128 0.320622
7.2 3.46845 62.9325 57.1068 0.327477
7.3 3.51662 62.9256 57.3936 0.334426
7.4 3.56479 62.9185 57.6734 0.341471
7.5 3.61295 62.9114 57.9465 0.348611
7.6 3.66112 62.9042 58.2129 0.355847
7.7 3.70929 62.8968 58.473 0.363177
7.8 3.75746 62.8894 58.7268 0.370603
7.9 3.80562 62.8819 58.9745 0.378125
8 3.85379 62.8743 59.2163 0.385741
8.1 3.90196 62.8665 59.4524 0.393453
8.2 3.95013 62.8587 59.6829 0.401259
8.3 3.99829 62.8508 59.908 0.409161
8.4 4.04646 62.8428 60.1278 0.417158
8.5 4.09462 62.8347 60.3424 0.42525
8.6 4.14279 62.8266 60.552 0.433437
8.7 4.19096 62.8183 60.7567 0.44172
8.8 4.23912 62.8099 60.9566 0.450097
8.9 4.28729 62.8014 61.152 0.458569
9 4.33545 62.7929 61.3428 0.467136
9.1 4.38362 62.7842 61.5292 0.475798
9.2 4.43178 62.7754 61.7113 0.484555
9.3 4.47995 62.7666 61.8892 0.493407
9.4 4.52811 62.7576 62.063 0.502353
9.5 4.57628 62.7486 62.2329 0.511395
9.6 4.62444 62.7395 62.3989 0.520531
9.7 4.6726 62.7302 62.5612 0.529762
9.8 4.72077 62.7209 62.7197 0.539088
9.9 4.76893 62.7115 62.8746 0.548508
10 4.81709 62.702 63.0261 0.558024
10.1 4.86525 62.6924 63.1741 0.567633
10.2 4.91342 62.6827 63.3188 0.577338
10.3 4.96158 62.6729 63.4602 0.587137
10.4 5.00974 62.663 63.5984 0.59703
10.5 5.0579 62.653 63.7335 0.607019
10.6 5.10606 62.6429 63.8656 0.617101
10.7 5.15422 62.6327 63.9947 0.627278
10.8 5.20238 62.6225 64.1209 0.63755
10.9 5.25055 62.6121 64.2443 0.647916
11 5.29871 62.6016 64.3649 0.658376
11.1 5.34687 62.5911 64.4828 0.668931
11.2 5.39503 62.5804 64.5981 0.67958
11.3 5.44318 62.5697 64.7108 0.690323
11.4 5.49134 62.5588 64.821 0.701161
11.5 5.5395 62.5479 64.9287 0.712092
11.6 5.58766 62.5369 65.034 0.723118
11.7 5.63582 62.5258 65.1369 0.734238
11.8 5.68398 62.5145 65.2375 0.745453
11.9 5.73213 62.5032 65.3359 0.756761
12 5.78029 62.4918 65.432 0.768163
12.1 5.82845 62.4803 65.526 0.779659
12.2 5.87661 62.4688 65.6179 0.79125
12.3 5.92476 62.4571 65.7077 0.802934
12.4 5.97292 62.4453 65.7954 0.814712
12.5 6.02107 62.4334 65.8812 0.826584
12.6 6.06923 62.4215 65.9651 0.83855
12.7 6.11738 62.4094 66.047 0.85061
12.8 6.16554 62.3972 66.1271 0.862763
12.9 6.21369 62.385 66.2053 0.87501
13 6.26185 62.3726 66.2817 0.887351
13.1 6.31 62.3602 66.3564 0.899785
13.2 6.35816 62.3477 66.4294 0.912314
13.3 6.40631 62.3351 66.5007 0.924935
13.4 6.45446 62.3223 66.5703 0.93765
13.5 6.50261 62.3095 66.6384 0.950459
13.6 6.55077 62.2966 66.7048 0.963361
13.7 6.59892 62.2836 66.7697 0.976357
13.8 6.64707 62.2706 66.833 0.989446
13.9 6.69522 62.2574 66.8949 1.00263
14 6.74337 62.2441 66.9553 1.0159
14.1 6.79152 62.2307 67.0142 1.02927
14.2 6.83967 62.2173 67.0718 1.04273
14.3 6.88782 62.2037 67.1279 1.05629
14.4 6.93597 62.1901 67.1827 1.06994
