#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
0 0 245.798 0 225.162
0.1 7.26667 239.959 3.75974 231.002
0.2 14.4733 223.012 6.91197 247.948
0.3 21.5425 196.618 9.05476 274.342
0.4 28.3546 163.359 10.055 307.601
0.5 34.7023 126.492 9.98183 344.468
0.6 40.1896 89.6241 9.00693 381.336
0.7 43.9656 56.3653 7.33246 414.595
0.8 43.893 29.971 5.15534 440.989
0.9 33.6244 13.0249 2.65608 457.935
1 1.69372e-14 7.1856 1.04546e-15 463.774
1.1 146.376 13.0249 177.344 457.935
1.2 136.107 29.971 174.845 440.989
1.3 136.034 56.3653 172.668 414.595
1.4 139.81 89.6241 170.993 381.336
1.5 145.298 126.492 170.018 344.468
1.6 151.645 163.359 169.945 307.601
1.7 158.458 196.618 170.945 274.342
1.8 165.527 223.012 173.088 247.948
1.9 172.733 239.959 176.24 231.002
2 180 245.798 180 225.162
2.1 7.26667 239.959 3.75974 231.002
2.2 14.4733 223.012 6.91197 247.948
2.3 21.5425 196.618 9.05476 274.342
2.4 28.3546 163.359 10.055 307.601
2.5 34.7023 126.492 9.98183 344.468
2.6 40.1896 89.6241 9.00693 381.336
2.7 43.9656 56.3653 7.33246 414.595
2.8 43.893 29.971 5.15534 440.989
2.9 33.6244 13.0249 2.65608 457.935
3 5.08117e-14 7.1856 3.13638e-15 463.774
3.1 146.376 13.0249 177.344 457.935
3.2 136.107 29.971 174.845 440.989
3.3 136.034 56.3653 172.668 414.595
3.4 139.81 89.6241 170.993 381.336
3.5 145.298 126.492 170.018 344.468
3.6 151.645 163.359 169.945 307.601
3.7 158.458 196.618 170.945 274.342
3.8 165.527 223.012 173.088 247.948
3.9 172.733 239.959 176.24 231.002
4 180 245.798 180 225.162
4.1 7.26667 239.959 3.75974 231.002
4.2 14.4733 223.012 6.91197 247.948
4.3 21.5425 196.618 9.05476 274.342
4.4 28.3546 163.359 10.055 307.601
4.5 34.7023 126.492 9.98183 344.468
4.6 40.1896 89.6241 9.00693 381.336
4.7 43.9656 56.3653 7.33246 414.595
4.8 43.893 29.971 5.15534 440.989
4.9 33.6244 13.0249 2.65608 457.935
5 8.46861e-14 7.1856 5.2273e-15 463.774
5.1 146.376 13.0249 177.344 457.935
5.2 136.107 29.971 174.845 440.989
5.3 136.034 56.3653 172.668 414.595
5.4 139.81 89.6241 170.993 381.336
5.5 145.298 126.492 170.018 344.468
5.6 151.645 163.359 169.945 307.601
5.7 158.458 196.618 170.945 274.342
5.8 165.527 223.012 173.088 247.948
5.9 172.733 239.959 176.24 231.002
6 180 245.798 180 225.162
6.1 7.26667 239.959 3.75974 231.002
6.2 14.4733 223.012 6.91197 247.948
6.3 21.5425 196.618 9.05476 274.342
6.4 28.3546 163.359 10.055 307.601
6.5 34.7023 126.492 9.98183 344.468
6.6 40.1896 89.6241 9.00693 381.336
6.7 43.9656 56.3653 7.33246 414.595
6.8 43.893 29.971 5.15534 440.989
6.9 33.6244 13.0249 2.65608 457.935
7 1.18561e-13 7.1856 7.31822e-15 463.774
7.1 146.376 13.0249 177.344 457.935
7.2 136.107 29.971 174.845 440.989
7.3 136.034 56.3653 172.668 414.595
7.4 139.81 89.6241 170.993 381.336
7.5 145.298 126.492 170.018 344.468
7.6 151.645 163.359 169.945 307.601
7.7 158.458 196.618 170.945 274.342
7.8 165.527 223.012 173.088 247.948
7.9 172.733 239.959 176.24 231.002
8 180 245.798 180 225.162
8.1 7.26667 239.959 3.75974 231.002
8.2 14.4733 223.012 6.91197 247.948
8.3 21.5425 196.618 9.05476 274.342
8.4 28.3546 163.359 10.055 307.601
8.5 34.7023 126.492 9.98183 344.468
8.6 40.1896 89.6241 9.00693 381.336
8.7 43.9656 56.3653 7.33246 414.595
8.8 43.893 29.971 5.15534 440.989
8.9 33.6244 13.0249 2.65608 457.935
9 1.52435e-13 7.1856 9.40914e-15 463.774
9.1 146.376 13.0249 177.344 457.935
9.2 136.107 29.971 174.845 440.989
9.3 136.034 56.3653 172.668 414.595
9.4 139.81 89.6241 170.993 381.336
9.5 145.298 126.492 170.018 344.468
9.6 151.645 163.359 169.945 307.601
9.7 158.458 196.618 170.945 274.342
9.8 165.527 223.012 173.088 247.948
9.9 172.733 239.959 176.24 231.002
10 180 245.798 180 225.162
10.1 7.26667 239.959 3.75974 231.002
10.2 14.4733 223.012 6.91197 247.948
10.3 21.5425 196.618 9.05476 274.342
10.4 28.3546 163.359 10.055 307.601
10.5 34.7023 126.492 9.98183 344.468
10.6 40.1896 89.6241 9.00693 381.336
10.7 43.9656 56.3653 7.33246 414.595
10.8 43.893 29.971 5.15534 440.989
10.9 33.6244 13.0249 2.65608 457.935
11 6.7766e-13 7.1856 4.1829e-14 463.774
11.1 146.376 13.0249 177.344 457.935
11.2 136.107 29.971 174.845 440.989
11.3 136.034 56.3653 172.668 414.595
11.4 139.81 89.6241 170.993 381.336
11.5 145.298 126.492 170.018 344.468
11.6 151.645 163.359 169.945 307.601
11.7 158.458 196.618 170.945 274.342
11.8 165.527 223.012 173.088 247.948
11.9 172.733 239.959 176.24 231.002
12 180 245.798 180 225.162
12.1 7.26667 239.959 3.75974 231.002
12.2 14.4733 223.012 6.91197 247.948
12.3 21.5425 196.618 9.05476 274.342
12.4 28.3546 163.359 10.055 307.601
12.5 34.7023 126.492 9.98183 344.468
12.6 40.1896 89.6241 9.00693 381.336
12.7 43.9656 56.3653 7.33246 414.595
12.8 43.893 29.971 5.15534 440.989
12.9 33.6244 13.0249 2.65608 457.935
13 180 7.1856 180 463.774
13.1 146.376 13.0249 177.344 457.935
13.2 136.107 29.971 174.845 440.989
13.3 136.034 56.3653 172.668 414.595
13.4 139.81 89.6241 170.993 381.336
13.5 145.298 126.492 170.018 344.468
13.6 151.645 163.359 169.945 307.601
13.7 158.458 196.618 170.945 274.342
13.8 165.527 223.012 173.088 247.948
13.9 172.733 239.959 176.24 231.002
14 180 245.798 180 225.162
14.1 7.26667 239.959 3.75974 231.002
14.2 14.4733 223.012 6.91197 247.948
14.3 21.5425 196.618 9.05476 274.342
14.4 28.3546 163.359 10.055 307.601
14.5 34.7023 126.492 9.98183 344.468
14.6 40.1896 89.6241 9.00693 381.336
14.7 43.9656 56.3653 7.33246 414.595
14.8 43.893 29.971 5.15534 440.989
14.9 33.6244 13.0249 2.65608 457.935
15 7.45409e-13 7.1856 4.60108e-14 463.774
15.1 146.376 13.0249 177.344 457.935
15.2 136.107 29.971 174.845 440.989
15.3 136.034 56.3653 172.668 414.595
15.4 139.81 89.6241 170.993 381.336
15.5 145.298 126.492 170.018 344.468
15.6 151.645 163.359 169.945 307.601
15.7 158.458 196.618 170.945 274.342
15.8 165.527 223.012 173.088 247.948
15.9 172.733 239.959 176.24 231.002
16 180 245.798 180 225.162
16.1 7.26667 239.959 3.75974 231.002
16.2 14.4733 223.012 6.91197 247.948
16.3 21.5425 196.618 9.05476 274.342
16.4 28.3546 163.359 10.055 307.601
16.5 34.7023 126.492 9.98183 344.468
16.6 40.1896 89.6241 9.00693 381.336
16.7 43.9656 56.3653 7.33246 414.595
16.8 43.893 29.971 5.15534 440.989
16.9 33.6244 13.0249 2.65608 457.935
17 180 7.1856 180 463.774
17.1 146.376 13.0249 177.344 457.935
17.2 136.107 29.971 174.845 440.989
17.3 136.034 56.3653 172.668 414.595
17.4 139.81 89.6241 170.993 381.336
17.5 145.298 126.492 170.018 344.468
17.6 151.645 163.359 169.945 307.601
17.7 158.458 196.618 170.945 274.342
17.8 165.527 223.012 173.088 247.948
17.9 172.733 239.959 176.24 231.002
18 180 245.798 180 225.162
18.1 7.26667 239.959 3.75974 231.002
18.2 14.4733 223.012 6.91197 247.948
18.3 21.5425 196.618 9.05476 274.342
18.4 28.3546 163.359 10.055 307.601
18.5 34.7023 126.492 9.98183 344.468
18.6 40.1896 89.6241 9.00693 381.336
18.7 43.9656 56.3653 7.33246 414.595
18.8 43.893 29.971 5.15534 440.989
18.9 33.6244 13.0249 2.65608 457.935
