#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
0 0 250.107 0 223.053
0.1 7.35319 244.145 3.85599 229.015
0.2 14.651 226.843 7.08222 246.317
0.3 21.8212 199.895 9.26602 273.265
0.4 28.7513 165.938 10.2759 307.222
0.5 35.2449 128.296 10.1886 344.864
0.6 40.9237 90.6545 9.18413 382.506
0.7 44.9673 56.6975 7.4708 416.463
0.8 45.2774 29.749 5.24968 443.411
0.9 35.3365 12.447 2.70379 460.713
1 1.82039e-14 6.48516 1.06412e-15 466.675
1.1 144.664 12.447 177.296 460.713
1.2 134.723 29.749 174.75 443.411
1.3 135.033 56.6975 172.529 416.463
1.4 139.076 90.6545 170.816 382.506
1.5 144.755 128.296 169.811 344.864
1.6 151.249 165.938 169.724 307.222
1.7 158.179 199.895 170.734 273.265
1.8 165.349 226.843 172.918 246.317
1.9 172.647 244.145 176.144 229.015
2 180 250.107 180 223.053
2.1 7.35319 244.145 3.85599 229.015
2.2 14.651 226.843 7.08222 246.317
2.3 21.8212 199.895 9.26602 273.265
2.4 28.7513 165.938 10.2759 307.222
2.5 35.2449 128.296 10.1886 344.864
2.6 40.9237 90.6545 9.18413 382.506
2.7 44.9673 56.6975 7.4708 416.463
2.8 45.2774 29.749 5.24968 443.411
2.9 35.3365 12.447 2.70379 460.713
3 5.46117e-14 6.48516 3.19237e-15 466.675
3.1 144.664 12.447 177.296 460.713
3.2 134.723 29.749 174.75 443.411
3.3 135.033 56.6975 172.529 416.463
3.4 139.076 90.6545 170.816 382.506
3.5 144.755 128.296 169.811 344.864
3.6 151.249 165.938 169.724 307.222
3.7 158.179 199.895 170.734 273.265
3.8 165.349 226.843 172.918 246.317
3.9 172.647 244.145 176.144 229.015
4 180 250.107 180 223.053
4.1 7.35319 244.145 3.85599 229.015
4.2 14.651 226.843 7.08222 246.317
4.3 21.8212 199.895 9.26602 273.265
4.4 28.7513 165.938 10.2759 307.222
4.5 35.2449 128.296 10.1886 344.864
4.6 40.9237 90.6545 9.18413 382.506
4.7 44.9673 56.6975 7.4708 416.463
4.8 45.2774 29.749 5.24968 443.411
4.9 35.3365 12.447 2.70379 460.713
