#kinematics calculation of exex
#vertex z = 50 mm, E_reaction = 66.411 MeV
#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 57.1852 0 0.345757
0.1 0.0460487 57.1852 0.592933 0.3458
0.2 0.0920974 57.1851 1.18571 0.34593
0.3 0.138146 57.1849 1.77816 0.346146
0.4 0.184195 57.1846 2.37012 0.346449
0.5 0.230243 57.1842 2.96145 0.346839
0.6 0.276292 57.1837 3.55198 0.347315
0.7 0.32234 57.1831 4.14155 0.347878
0.8 0.368389 57.1825 4.73001 0.348527
0.9 0.414437 57.1817 5.31719 0.349263
1 0.460486 57.1809 5.90296 0.350085
1.1 0.506534 57.18 6.48716 0.350994
1.2 0.552583 57.179 7.06965 0.35199
1.3 0.598631 57.1779 7.65026 0.353072
1.4 0.644679 57.1768 8.22887 0.35424
1.5 0.690727 57.1755 8.80534 0.355495
1.6 0.736775 57.1742 9.37952 0.356837
1.7 0.782823 57.1727 9.95128 0.358265
1.8 0.828871 57.1712 10.5205 0.35978
1.9 0.874918 57.1696 11.087 0.361381
2 0.920966 57.1679 11.6508 0.363069
2.1 0.967014 57.1662 12.2116 0.364844
2.2 1.01306 57.1643 12.7694 0.366704
2.3 1.05911 57.1623 13.324 0.368652
2.4 1.10516 57.1603 13.8754 0.370686
2.5 1.1512 57.1582 14.4234 0.372806
2.6 1.19725 57.156 14.968 0.375013
2.7 1.2433 57.1537 15.509 0.377306
2.8 1.28934 57.1513 16.0463 0.379686
2.9 1.33539 57.1488 16.5799 0.382152
3 1.38143 57.1463 17.1097 0.384705
3.1 1.42748 57.1437 17.6356 0.387344
3.2 1.47353 57.1409 18.1575 0.39007
3.3 1.51957 57.1381 18.6754 0.392882
3.4 1.56562 57.1352 19.1892 0.39578
3.5 1.61166 57.1322 19.6988 0.398765
3.6 1.65771 57.1292 20.2041 0.401837
3.7 1.70375 57.126 20.7052 0.404994
3.8 1.7498 57.1228 21.2019 0.408238
3.9 1.79584 57.1194 21.6943 0.411569
4 1.84189 57.116 22.1822 0.414986
4.1 1.88793 57.1125 22.6656 0.418489
4.2 1.93397 57.1089 23.1446 0.422079
4.3 1.98002 57.1052 23.619 0.425754
4.4 2.02606 57.1015 24.0888 0.429517
4.5 2.0721 57.0976 24.5541 0.433365
4.6 2.11815 57.0937 25.0148 0.4373
4.7 2.16419 57.0897 25.4708 0.441321
4.8 2.21023 57.0856 25.9222 0.445429
4.9 2.25627 57.0814 26.369 0.449622
5 2.30232 57.0771 26.811 0.453902
5.1 2.34836 57.0727 27.2485 0.458269
5.2 2.3944 57.0683 27.6812 0.462721
5.3 2.44044 57.0637 28.1093 0.46726
5.4 2.48648 57.0591 28.5327 0.471884
5.5 2.53252 57.0544 28.9515 0.476596
5.6 2.57856 57.0496 29.3656 0.481393
5.7 2.6246 57.0447 29.7751 0.486276
5.8 2.67064 57.0398 30.1799 0.491246
5.9 2.71668 57.0347 30.5801 0.496301
