#kinematics calculation of gsex
#vertex z = 450 mm, E_reaction = 42.514 MeV
#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 37.9434 0 0.130575
0.1 0.0470345 37.9434 0.802236 0.130604
0.2 0.0940691 37.9433 1.6041 0.13069
0.3 0.141104 37.9432 2.40521 0.130834
0.4 0.188138 37.943 3.20519 0.131036
0.5 0.235173 37.9427 4.00369 0.131295
0.6 0.282207 37.9424 4.80032 0.131612
0.7 0.329242 37.942 5.59474 0.131986
0.8 0.376276 37.9416 6.38658 0.132418
0.9 0.42331 37.9411 7.17549 0.132908
1 0.470345 37.9405 7.96114 0.133455
1.1 0.517379 37.9399 8.7432 0.134059
1.2 0.564413 37.9393 9.52133 0.134722
1.3 0.611448 37.9386 10.2952 0.135442
1.4 0.658482 37.9378 11.0646 0.136219
1.5 0.705516 37.9369 11.8291 0.137054
1.6 0.75255 37.9361 12.5885 0.137947
1.7 0.799584 37.9351 13.3425 0.138897
1.8 0.846618 37.9341 14.0909 0.139904
1.9 0.893651 37.933 14.8333 0.14097
2 0.940685 37.9319 15.5697 0.142093
2.1 0.987719 37.9307 16.2997 0.143273
2.2 1.03475 37.9295 17.0231 0.144511
2.3 1.08179 37.9282 17.7398 0.145807
2.4 1.12882 37.9268 18.4496 0.14716
2.5 1.17585 37.9254 19.1523 0.14857
2.6 1.22289 37.924 19.8477 0.150038
2.7 1.26992 37.9224 20.5357 0.151564
2.8 1.31695 37.9209 21.2162 0.153147
2.9 1.36398 37.9192 21.889 0.154788
3 1.41102 37.9175 22.5541 0.156486
3.1 1.45805 37.9158 23.2113 0.158242
3.2 1.50508 37.9139 23.8606 0.160055
3.3 1.55211 37.9121 24.5019 0.161926
3.4 1.59915 37.9101 25.1351 0.163854
3.5 1.64618 37.9082 25.7602 0.16584
3.6 1.69321 37.9061 26.3772 0.167883
3.7 1.74024 37.904 26.986 0.169984
3.8 1.78727 37.9019 27.5866 0.172142
3.9 1.8343 37.8996 28.179 0.174358
4 1.88134 37.8974 28.7631 0.176631
4.1 1.92837 37.895 29.3391 0.178962
4.2 1.9754 37.8927 29.9068 0.18135
4.3 2.02243 37.8902 30.4664 0.183795
4.4 2.06946 37.8877 31.0178 0.186298
4.5 2.11649 37.8851 31.5611 0.188859
4.6 2.16352 37.8825 32.0964 0.191476
4.7 2.21055 37.8798 32.6236 0.194152
4.8 2.25758 37.8771 33.1428 0.196884
4.9 2.30461 37.8743 33.654 0.199674
