#kinematics calculation of gsgs
#vertex z = 400 mm, E_reaction = 46.046 MeV
#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 46.046 0 1.81899e-12
0.1 0.0499486 46.046 89.9499 3.5066e-05
0.2 0.0998971 46.0459 89.8999 0.000140264
0.3 0.149846 46.0457 89.8498 0.000315594
0.4 0.199794 46.0454 89.7998 0.000561054
0.5 0.249743 46.0451 89.7497 0.000876645
0.6 0.299691 46.0447 89.6997 0.00126237
0.7 0.34964 46.0443 89.6496 0.00171821
0.8 0.399589 46.0438 89.5996 0.00224419
0.9 0.449537 46.0432 89.5495 0.00284029
1 0.499486 46.0425 89.4995 0.00350651
1.1 0.549434 46.0418 89.4494 0.00424286
1.2 0.599383 46.041 89.3994 0.00504932
1.3 0.649332 46.0401 89.3493 0.00592591
1.4 0.69928 46.0391 89.2993 0.0068726
1.5 0.749229 46.0381 89.2492 0.00788941
1.6 0.799177 46.037 89.1992 0.00897632
1.7 0.849126 46.0359 89.1491 0.0101333
1.8 0.899074 46.0346 89.0991 0.0113605
1.9 0.949023 46.0333 89.049 0.0126577
2 0.998972 46.032 88.999 0.014025
2.1 1.04892 46.0305 88.9489 0.0154624
2.2 1.09887 46.029 88.8989 0.0169699
2.3 1.14882 46.0275 88.8488 0.0185474
2.4 1.19877 46.0258 88.7988 0.0201951
2.5 1.24871 46.0241 88.7487 0.0219128
2.6 1.29866 46.0223 88.6987 0.0237006
2.7 1.34861 46.0204 88.6486 0.0255584
2.8 1.39856 46.0185 88.5986 0.0274863
2.9 1.44851 46.0165 88.5485 0.0294842
3 1.49846 46.0144 88.4985 0.0315522
3.1 1.54841 46.0123 88.4484 0.0336902
3.2 1.59836 46.0101 88.3984 0.0358983
3.3 1.6483 46.0078 88.3483 0.0381764
3.4 1.69825 46.0055 88.2983 0.0405244
3.5 1.7482 46.0031 88.2482 0.0429425
3.6 1.79815 46.0006 88.1981 0.0454306
3.7 1.8481 45.998 88.1481 0.0479887
3.8 1.89805 45.9954 88.098 0.0506168
3.9 1.948 45.9927 88.048 0.0533148
4 1.99794 45.9899 87.9979 0.0560829
4.1 2.04789 45.9871 87.9479 0.0589209
4.2 2.09784 45.9842 87.8978 0.0618288
4.3 2.14779 45.9812 87.8478 0.0648067
4.4 2.19774 45.9781 87.7977 0.0678545
4.5 2.24769 45.975 87.7477 0.0709722
4.6 2.29764 45.9718 87.6976 0.0741599
4.7 2.34759 45.9686 87.6476 0.0774174
4.8 2.39753 45.9653 87.5975 0.0807449
4.9 2.44748 45.9619 87.5475 0.0841422
5 2.49743 45.9584 87.4974 0.0876095
5.1 2.54738 45.9549 87.4474 0.0911466
5.2 2.59733 45.9512 87.3973 0.0947535
5.3 2.64728 45.9476 87.3473 0.0984303
5.4 2.69723 45.9438 87.2972 0.102177
5.5 2.74718 45.94 87.2472 0.105993
5.6 2.79712 45.9361 87.1971 0.10988
5.7 2.84707 45.9322 87.1471 0.113836
5.8 2.89702 45.9281 87.097 0.117861
5.9 2.94697 45.924 87.047 0.121957
6 2.99692 45.9199 86.9969 0.126122
6.1 3.04687 45.9156 86.9469 0.130358
6.2 3.09682 45.9113 86.8968 0.134662
6.3 3.14677 45.907 86.8468 0.139037
6.4 3.19672 45.9025 86.7967 0.143481
6.5 3.24666 45.898 86.7467 0.147995
6.6 3.29661 45.8934 86.6966 0.152579
6.7 3.34656 45.8888 86.6466 0.157232
6.8 3.39651 45.884 86.5965 0.161955
6.9 3.44646 45.8793 86.5465 0.166748
7 3.49641 45.8744 86.4964 0.17161
7.1 3.54636 45.8695 86.4464 0.176542
7.2 3.59631 45.8645 86.3963 0.181543
7.3 3.64626 45.8594 86.3463 0.186614
7.4 3.6962 45.8542 86.2962 0.191755
7.5 3.74615 45.849 86.2462 0.196965
7.6 3.7961 45.8438 86.1961 0.202245
7.7 3.84605 45.8384 86.146 0.207594
7.8 3.896 45.833 86.096 0.213012
7.9 3.94595 45.8275 86.0459 0.218501
8 3.9959 45.8219 85.9959 0.224058
8.1 4.04585 45.8163 85.9458 0.229685
8.2 4.0958 45.8106 85.8958 0.235382
8.3 4.14575 45.8049 85.8457 0.241148
8.4 4.1957 45.799 85.7957 0.246983
8.5 4.24564 45.7931 85.7456 0.252888
8.6 4.29559 45.7871 85.6956 0.258862
8.7 4.34554 45.7811 85.6455 0.264905
8.8 4.39549 45.775 85.5955 0.271018
8.9 4.44544 45.7688 85.5454 0.2772
9 4.49539 45.7625 85.4954 0.283451
9.1 4.54534 45.7562 85.4453 0.289772
9.2 4.59529 45.7498 85.3953 0.296162
9.3 4.64524 45.7434 85.3452 0.302621
9.4 4.69519 45.7369 85.2952 0.309149
9.5 4.74514 45.7303 85.2451 0.315747
9.6 4.79509 45.7236 85.1951 0.322413
9.7 4.84504 45.7169 85.145 0.329149
9.8 4.89498 45.71 85.095 0.335954
9.9 4.94493 45.7032 85.0449 0.342828
10 4.99488 45.6962 84.9949 0.349771
10.1 5.04483 45.6892 84.9448 0.356783
10.2 5.09478 45.6821 84.8948 0.363865
10.3 5.14473 45.675 84.8447 0.371015
10.4 5.19468 45.6678 84.7947 0.378234
10.5 5.24463 45.6605 84.7446 0.385522
10.6 5.29458 45.6531 84.6946 0.392879
10.7 5.34453 45.6457 84.6445 0.400306
10.8 5.39448 45.6382 84.5945 0.407801
10.9 5.44443 45.6306 84.5444 0.415365
11 5.49438 45.623 84.4944 0.422997
11.1 5.54433 45.6153 84.4443 0.430699
11.2 5.59428 45.6075 84.3943 0.438469
11.3 5.64423 45.5997 84.3442 0.446309
11.4 5.69418 45.5918 84.2942 0.454217
11.5 5.74413 45.5838 84.2441 0.462194
11.6 5.79408 45.5758 84.1941 0.470239
11.7 5.84402 45.5676 84.144 0.478353
11.8 5.89397 45.5595 84.094 0.486536
11.9 5.94392 45.5512 84.0439 0.494788
12 5.99387 45.5429 83.9939 0.503108
12.1 6.04382 45.5345 83.9438 0.511497
12.2 6.09377 45.526 83.8938 0.519954
12.3 6.14372 45.5175 83.8437 0.52848
12.4 6.19367 45.5089 83.7937 0.537074
12.5 6.24362 45.5003 83.7436 0.545737
12.6 6.29357 45.4915 83.6936 0.554468
12.7 6.34352 45.4827 83.6435 0.563268
12.8 6.39347 45.4739 83.5935 0.572136
12.9 6.44342 45.4649 83.5434 0.581073
13 6.49337 45.4559 83.4934 0.590078
13.1 6.54332 45.4468 83.4433 0.599151
13.2 6.59327 45.4377 83.3933 0.608293
13.3 6.64322 45.4285 83.3432 0.617503
13.4 6.69317 45.4192 83.2932 0.626781
13.5 6.74312 45.4099 83.2431 0.636127
13.6 6.79307 45.4005 83.1931 0.645542
13.7 6.84302 45.391 83.143 0.655025
13.8 6.89297 45.3814 83.093 0.664575
13.9 6.94292 45.3718 83.0429 0.674194
14 6.99287 45.3621 82.9929 0.683881
14.1 7.04282 45.3524 82.9428 0.693637
14.2 7.09277 45.3425 82.8928 0.70346
14.3 7.14272 45.3326 82.8427 0.713351
14.4 7.19267 45.3227 82.7927 0.72331
14.5 7.24262 45.3127 82.7426 0.733337
14.6 7.29257 45.3026 82.6926 0.743432
14.7 7.34252 45.2924 82.6425 0.753595
14.8 7.39247 45.2822 82.5925 0.763825
14.9 7.44242 45.2719 82.5424 0.774124
15 7.49237 45.2615 82.4924 0.78449
15.1 7.54232 45.2511 82.4423 0.794924
15.2 7.59227 45.2406 82.3923 0.805425
15.3 7.64222 45.23 82.3422 0.815995
15.4 7.69218 45.2194 82.2922 0.826632
15.5 7.74213 45.2087 82.2421 0.837336
15.6 7.79208 45.1979 82.1921 0.848108
15.7 7.84203 45.1871 82.142 0.858948
15.8 7.89198 45.1761 82.092 0.869855
15.9 7.94193 45.1652 82.0419 0.88083
16 7.99188 45.1541 81.9919 0.891872
16.1 8.04183 45.143 81.9418 0.902982
16.2 8.09178 45.1318 81.8918 0.914158
16.3 8.14173 45.1206 81.8417 0.925403
16.4 8.19168 45.1093 81.7917 0.936714
16.5 8.24163 45.0979 81.7416 0.948093
16.6 8.29158 45.0865 81.6916 0.959539
16.7 8.34153 45.0749 81.6415 0.971053
16.8 8.39148 45.0634 81.5915 0.982633
16.9 8.44143 45.0517 81.5414 0.994281
17 8.49138 45.04 81.4914 1.006
17.1 8.54134 45.0282 81.4413 1.01778
17.2 8.59129 45.0164 81.3913 1.02963
17.3 8.64124 45.0045 81.3412 1.04154
17.4 8.69119 44.9925 81.2912 1.05352
17.5 8.74114 44.9804 81.2411 1.06557
17.6 8.79109 44.9683 81.1911 1.07769
17.7 8.84104 44.9561 81.141 1.08987
17.8 8.89099 44.9439 81.091 1.10212
17.9 8.94094 44.9316 81.0409 1.11444
