#kinematics calculation of exex
#vertex z = 300 mm, E_reaction = 52.061 MeV
#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 42.7184 0 0.462552
0.1 0.04475 42.7184 0.430446 0.462585
0.2 0.0894999 42.7183 0.860825 0.462681
0.3 0.13425 42.7182 1.29107 0.462842
0.4 0.179 42.7179 1.72112 0.463067
0.5 0.22375 42.7176 2.15089 0.463357
0.6 0.268499 42.7173 2.58034 0.463711
0.7 0.313249 42.7169 3.00939 0.464129
0.8 0.357999 42.7164 3.43797 0.464612
0.9 0.402749 42.7158 3.86602 0.465159
1 0.447498 42.7152 4.29347 0.46577
1.1 0.492248 42.7146 4.72027 0.466446
1.2 0.536997 42.7138 5.14635 0.467186
1.3 0.581747 42.713 5.57163 0.467991
1.4 0.626496 42.7121 5.99607 0.468859
1.5 0.671245 42.7112 6.4196 0.469792
1.6 0.715994 42.7102 6.84216 0.47079
1.7 0.760743 42.7091 7.26368 0.471852
1.8 0.805492 42.708 7.68411 0.472978
1.9 0.85024 42.7068 8.10339 0.474168
2 0.894989 42.7056 8.52146 0.475423
2.1 0.939737 42.7043 8.93827 0.476742
2.2 0.984485 42.7029 9.35376 0.478125
2.3 1.02923 42.7014 9.76786 0.479573
2.4 1.07398 42.6999 10.1805 0.481085
2.5 1.11873 42.6983 10.5917 0.482662
2.6 1.16348 42.6967 11.0014 0.484302
2.7 1.20822 42.695 11.4095 0.486007
2.8 1.25297 42.6932 11.8159 0.487776
2.9 1.29772 42.6914 12.2207 0.48961
3 1.34246 42.6895 12.6237 0.491508
3.1 1.38721 42.6875 13.025 0.49347
3.2 1.43196 42.6855 13.4244 0.495496
3.3 1.4767 42.6834 13.822 0.497586
3.4 1.52145 42.6813 14.2176 0.499741
3.5 1.56619 42.679 14.6114 0.50196
3.6 1.61094 42.6768 15.0031 0.504244
3.7 1.65568 42.6744 15.3928 0.506591
3.8 1.70043 42.672 15.7805 0.509003
3.9 1.74517 42.6695 16.166 0.511479
4 1.78992 42.667 16.5494 0.514019
4.1 1.83466 42.6644 16.9307 0.516623
4.2 1.8794 42.6617 17.3098 0.519292
4.3 1.92415 42.659 17.6866 0.522025
4.4 1.96889 42.6562 18.0612 0.524822
4.5 2.01363 42.6533 18.4335 0.527683
