#kinematics calculation of gsex
#vertex z = 400 mm, E_reaction = 45.411 MeV
#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 40.8497 0 0.121333
0.1 0.0472394 40.8496 0.867322 0.121364
0.2 0.0944789 40.8495 1.73418 0.121457
0.3 0.141718 40.8494 2.60009 0.121612
0.4 0.188958 40.8492 3.46461 0.121829
0.5 0.236197 40.8489 4.32727 0.122108
0.6 0.283436 40.8486 5.18761 0.122449
0.7 0.330676 40.8481 6.04519 0.122852
0.8 0.377915 40.8477 6.89956 0.123318
0.9 0.425154 40.8472 7.75031 0.123845
1 0.472394 40.8466 8.597 0.124434
1.1 0.519633 40.8459 9.43924 0.125085
1.2 0.566872 40.8452 10.2766 0.125799
1.3 0.614111 40.8444 11.1088 0.126574
1.4 0.66135 40.8436 11.9353 0.127412
1.5 0.708589 40.8427 12.7559 0.128311
1.6 0.755828 40.8417 13.5702 0.129272
1.7 0.803067 40.8407 14.3779 0.130296
1.8 0.850306 40.8396 15.1787 0.131381
1.9 0.897545 40.8385 15.9723 0.132529
2 0.944783 40.8373 16.7584 0.133738
2.1 0.992022 40.836 17.5368 0.13501
2.2 1.03926 40.8347 18.3072 0.136343
2.3 1.0865 40.8333 19.0695 0.137738
2.4 1.13374 40.8318 19.8234 0.139196
2.5 1.18098 40.8303 20.5688 0.140715
2.6 1.22821 40.8287 21.3054 0.142296
2.7 1.27545 40.8271 22.0332 0.14394
2.8 1.32269 40.8254 22.752 0.145645
2.9 1.36993 40.8236 23.4617 0.147412
3 1.41717 40.8218 24.1621 0.149241
3.1 1.4644 40.8199 24.8533 0.151133
3.2 1.51164 40.8179 25.5351 0.153086
3.3 1.55888 40.8159 26.2075 0.155101
3.4 1.60611 40.8138 26.8704 0.157178
3.5 1.65335 40.8117 27.5238 0.159317
3.6 1.70059 40.8095 28.1677 0.161517
3.7 1.74783 40.8072 28.8021 0.16378
3.8 1.79506 40.8049 29.427 0.166105
3.9 1.8423 40.8025 30.0423 0.168491
4 1.88954 40.8001 30.6482 0.17094
4.1 1.93677 40.7976 31.2447 0.17345
4.2 1.98401 40.795 31.8317 0.176022
4.3 2.03124 40.7923 32.4094 0.178656
4.4 2.07848 40.7896 32.9778 0.181352
4.5 2.12571 40.7869 33.5369 0.18411
4.6 2.17295 40.7841 34.087 0.186929
4.7 2.22018 40.7812 34.6279 0.189811
4.8 2.26742 40.7782 35.1598 0.192754
4.9 2.31465 40.7752 35.6828 0.195759
5 2.36189 40.7722 36.197 0.198826
5.1 2.40912 40.769 36.7025 0.201955
5.2 2.45636 40.7659 37.1994 0.205145
5.3 2.50359 40.7626 37.6877 0.208397
5.4 2.55083 40.7593 38.1676 0.211711
5.5 2.59806 40.7559 38.6392 0.215087
5.6 2.64529 40.7525 39.1026 0.218525
5.7 2.69252 40.749 39.558 0.222024
5.8 2.73976 40.7454 40.0053 0.225585
5.9 2.78699 40.7418 40.4448 0.229208
6 2.83422 40.7381 40.8766 0.232892
6.1 2.88145 40.7344 41.3007 0.236638
6.2 2.92869 40.7306 41.7173 0.240446
6.3 2.97592 40.7267 42.1266 0.244315
6.4 3.02315 40.7228 42.5285 0.248246
6.5 3.07038 40.7188 42.9233 0.252239
6.6 3.11761 40.7147 43.3111 0.256294
6.7 3.16484 40.7106 43.6919 0.26041
6.8 3.21207 40.7064 44.066 0.264587
6.9 3.2593 40.7022 44.4333 0.268826
7 3.30653 40.6979 44.7941 0.273127
7.1 3.35376 40.6935 45.1484 0.27749
7.2 3.40099 40.6891 45.4963 0.281914
7.3 3.44822 40.6846 45.8381 0.286399
7.4 3.49545 40.6801 46.1736 0.290946
7.5 3.54268 40.6754 46.5032 0.295555
7.6 3.58991 40.6708 46.8269 0.300225
7.7 3.63713 40.666 47.1447 0.304956
7.8 3.68436 40.6613 47.4568 0.309749
7.9 3.73159 40.6564 47.7634 0.314604
8 3.77881 40.6515 48.0644 0.319519
8.1 3.82604 40.6465 48.3601 0.324497
8.2 3.87327 40.6415 48.6505 0.329536
8.3 3.92049 40.6364 48.9356 0.334636
8.4 3.96772 40.6312 49.2157 0.339797
8.5 4.01494 40.626 49.4908 0.34502
8.6 4.06217 40.6207 49.7609 0.350304
8.7 4.10939 40.6154 50.0263 0.35565
8.8 4.15662 40.6099 50.2869 0.361057
8.9 4.20384 40.6045 50.5428 0.366525
9 4.25106 40.5989 50.7942 0.372055
9.1 4.29829 40.5934 51.0411 0.377645
9.2 4.34551 40.5877 51.2837 0.383297
9.3 4.39273 40.582 51.5219 0.389011
9.4 4.43995 40.5762 51.7559 0.394785
9.5 4.48718 40.5704 51.9858 0.400621
9.6 4.5344 40.5645 52.2116 0.406518
9.7 4.58162 40.5585 52.4334 0.412476
9.8 4.62884 40.5525 52.6512 0.418495
9.9 4.67606 40.5464 52.8653 0.424575
10 4.72328 40.5403 53.0755 0.430717
10.1 4.7705 40.5341 53.2821 0.436919
10.2 4.81772 40.5278 53.485 0.443183
10.3 4.86493 40.5215 53.6844 0.449507
10.4 4.91215 40.5151 53.8802 0.455893
10.5 4.95937 40.5087 54.0727 0.46234
10.6 5.00659 40.5022 54.2617 0.468847
10.7 5.0538 40.4956 54.4474 0.475416
10.8 5.10102 40.489 54.6299 0.482046
10.9 5.14824 40.4823 54.8092 0.488736
11 5.19545 40.4755 54.9854 0.495488
11.1 5.24267 40.4687 55.1585 0.5023
11.2 5.28988 40.4618 55.3285 0.509173
11.3 5.33709 40.4549 55.4956 0.516107
11.4 5.38431 40.4479 55.6598 0.523102
11.5 5.43152 40.4408 55.8212 0.530158
11.6 5.47873 40.4337 55.9797 0.537275
11.7 5.52595 40.4265 56.1355 0.544452
11.8 5.57316 40.4193 56.2885 0.55169
11.9 5.62037 40.412 56.4389 0.558989
12 5.66758 40.4047 56.5867 0.566348
12.1 5.71479 40.3972 56.732 0.573768
12.2 5.762 40.3898 56.8747 0.581249
12.3 5.80921 40.3822 57.0149 0.58879
12.4 5.85642 40.3746 57.1527 0.596392
12.5 5.90363 40.3669 57.2881 0.604055
12.6 5.95083 40.3592 57.4212 0.611778
12.7 5.99804 40.3514 57.552 0.619562
12.8 6.04525 40.3436 57.6805 0.627406
12.9 6.09245 40.3357 57.8067 0.635311
13 6.13966 40.3277 57.9308 0.643276
13.1 6.18687 40.3197 58.0527 0.651302
13.2 6.23407 40.3116 58.1726 0.659388
13.3 6.28127 40.3035 58.2903 0.667534
13.4 6.32848 40.2953 58.406 0.675741
13.5 6.37568 40.287 58.5197 0.684008
13.6 6.42288 40.2787 58.6314 0.692336
13.7 6.47009 40.2703 58.7412 0.700724
13.8 6.51729 40.2618 58.849 0.709172
13.9 6.56449 40.2533 58.955 0.71768
14 6.61169 40.2448 59.0592 0.726248
14.1 6.65889 40.2361 59.1615 0.734877
14.2 6.70609 40.2274 59.2621 0.743566
14.3 6.75329 40.2187 59.3608 0.752315
14.4 6.80048 40.2099 59.4579 0.761124
14.5 6.84768 40.201 59.5533 0.769993
14.6 6.89488 40.1921 59.647 0.778923
14.7 6.94207 40.1831 59.739 0.787912
14.8 6.98927 40.174 59.8294 0.796961
14.9 7.03646 40.1649 59.9183 0.80607
15 7.08366 40.1558 60.0056 0.81524
15.1 7.13085 40.1465 60.0913 0.824469
15.2 7.17805 40.1372 60.1755 0.833758
15.3 7.22524 40.1279 60.2582 0.843107
15.4 7.27243 40.1185 60.3395 0.852516
15.5 7.31962 40.109 60.4193 0.861984
15.6 7.36681 40.0995 60.4977 0.871512
15.7 7.414 40.0899 60.5747 0.8811
15.8 7.46119 40.0803 60.6503 0.890748
15.9 7.50838 40.0705 60.7245 0.900456
16 7.55557 40.0608 60.7974 0.910223
16.1 7.60276 40.051 60.869 0.92005
16.2 7.64994 40.0411 60.9393 0.929936
16.3 7.69713 40.0311 61.0084 0.939882
16.4 7.74431 40.0211 61.0761 0.949887
16.5 7.7915 40.011 61.1427 0.959952
16.6 7.83868 40.0009 61.208 0.970077
16.7 7.88587 39.9907 61.2721 0.980261
16.8 7.93305 39.9805 61.335 0.990504
16.9 7.98023 39.9702 61.3968 1.00081
17 8.02741 39.9598 61.4574 1.01117
17.1 8.07459 39.9494 61.5169 1.02159
17.2 8.12177 39.9389 61.5752 1.03207
17.3 8.16895 39.9284 61.6325 1.04261
17.4 8.21613 39.9178 61.6887 1.05321
17.5 8.26331 39.9071 61.7438 1.06387
17.6 8.31048 39.8964 61.7979 1.07459
17.7 8.35766 39.8856 61.8509 1.08536
17.8 8.40484 39.8748 61.9029 1.0962
17.9 8.45201 39.8639 61.9539 1.10709
18 8.49919 39.853 62.0039 1.11805
18.1 8.54636 39.8419 62.0529 1.12906
18.2 8.59353 39.8309 62.101 1.14013
18.3 8.6407 39.8197 62.1481 1.15126
18.4 8.68787 39.8085 62.1943 1.16245
18.5 8.73505 39.7973 62.2396 1.1737
18.6 8.78221 39.786 62.2839 1.18501
18.7 8.82938 39.7746 62.3274 1.19637
18.8 8.87655 39.7632 62.3699 1.2078
18.9 8.92372 39.7517 62.4116 1.21928
19 8.97089 39.7402 62.4524 1.23083
19.1 9.01805 39.7286 62.4924 1.24243
19.2 9.06522 39.7169 62.5315 1.25409
19.3 9.11238 39.7052 62.5698 1.2658
19.4 9.15954 39.6934 62.6073 1.27758
19.5 9.20671 39.6816 62.644 1.28942
19.6 9.25387 39.6697 62.6799 1.30131
19.7 9.30103 39.6577 62.715 1.31326
19.8 9.34819 39.6457 62.7494 1.32527
19.9 9.39535 39.6337 62.7829 1.33734
20 9.44251 39.6215 62.8157 1.34947
20.1 9.48966 39.6093 62.8478 1.36165
20.2 9.53682 39.5971 62.8792 1.3739
20.3 9.58398 39.5848 62.9098 1.3862
20.4 9.63113 39.5724 62.9397 1.39856
20.5 9.67829 39.56 62.9689 1.41098
20.6 9.72544 39.5475 62.9974 1.42346
20.7 9.77259 39.535 63.0252 1.43599
20.8 9.81974 39.5224 63.0523 1.44858
20.9 9.86689 39.5098 63.0788 1.46123
21 9.91404 39.4971 63.1046 1.47394
21.1 9.96119 39.4843 63.1298 1.48671
21.2 10.0083 39.4715 63.1543 1.49953
21.3 10.0555 39.4586 63.1782 1.51241
21.4 10.1026 39.4456 63.2014 1.52535
21.5 10.1498 39.4326 63.224 1.53835
21.6 10.1969 39.4196 63.2461 1.55141
21.7 10.2441 39.4065 63.2675 1.56452
21.8 10.2912 39.3933 63.2883 1.57769
21.9 10.3384 39.3801 63.3085 1.59092
22 10.3855 39.3668 63.3281 1.6042
22.1 10.4326 39.3535 63.3472 1.61755
22.2 10.4798 39.3401 63.3657 1.63095
22.3 10.5269 39.3266 63.3836 1.64441
22.4 10.574 39.3131 63.401 1.65792
22.5 10.6212 39.2995 63.4178 1.6715
22.6 10.6683 39.2859 63.4341 1.68513
22.7 10.7155 39.2722 63.4498 1.69881
22.8 10.7626 39.2584 63.4651 1.71256
22.9 10.8097 39.2446 63.4798 1.72636
23 10.8569 39.2308 63.4939 1.74022
23.1 10.904 39.2169 63.5076 1.75414
23.2 10.9511 39.2029 63.5208 1.76811
23.3 10.9982 39.1889 63.5335 1.78214
23.4 11.0454 39.1748 63.5456 1.79623
23.5 11.0925 39.1606 63.5573 1.81037
23.6 11.1396 39.1464 63.5685 1.82457
23.7 11.1867 39.1322 63.5792 1.83883
23.8 11.2339 39.1179 63.5895 1.85315
23.9 11.281 39.1035 63.5993 1.86752
24 11.3281 39.0891 63.6086 1.88195
24.1 11.3752 39.0746 63.6175 1.89643
24.2 11.4224 39.06 63.626 1.91097
24.3 11.4695 39.0454 63.6339 1.92557
24.4 11.5166 39.0308 63.6415 1.94022
24.5 11.5637 39.0161 63.6486 1.95494
24.6 11.6108 39.0013 63.6553 1.9697
24.7 11.6579 38.9865 63.6616 1.98453
24.8 11.705 38.9716 63.6674 1.99941
24.9 11.7522 38.9567 63.6728 2.01434
25 11.7993 38.9417 63.6778 2.02934
25.1 11.8464 38.9266 63.6824 2.04439
25.2 11.8935 38.9115 63.6867 2.05949
25.3 11.9406 38.8963 63.6905 2.07465
25.4 11.9877 38.8811 63.6939 2.08987
25.5 12.0348 38.8659 63.6969 2.10515
25.6 12.0819 38.8505 63.6996 2.12047
25.7 12.129 38.8351 63.7018 2.13586
25.8 12.1761 38.8197 63.7037 2.1513
25.9 12.2232 38.8042 63.7052 2.1668
26 12.2703 38.7886 63.7064 2.18235
26.1 12.3174 38.773 63.7072 2.19796
26.2 12.3645 38.7574 63.7076 2.21363
26.3 12.4116 38.7417 63.7077 2.22935
26.4 12.4587 38.7259 63.7074 2.24512
26.5 12.5058 38.71 63.7067 2.26095
26.6 12.5529 38.6942 63.7058 2.27684
26.7 12.6 38.6782 63.7044 2.29278
26.8 12.6471 38.6622 63.7028 2.30878
26.9 12.6942 38.6462 63.7008 2.32483
27 12.7413 38.6301 63.6985 2.34094
27.1 12.7884 38.6139 63.6958 2.35711
27.2 12.8354 38.5977 63.6928 2.37332
27.3 12.8825 38.5814 63.6895 2.3896
27.4 12.9296 38.5651 63.6859 2.40593
27.5 12.9767 38.5487 63.682 2.42231
27.6 13.0238 38.5322 63.6778 2.43875
27.7 13.0709 38.5158 63.6732 2.45525
27.8 13.1179 38.4992 63.6684 2.4718
27.9 13.165 38.4826 63.6632 2.4884
28 13.2121 38.4659 63.6577 2.50506
28.1 13.2592 38.4492 63.652 2.52177
28.2 13.3062 38.4325 63.6459 2.53854
28.3 13.3533 38.4156 63.6396 2.55536
28.4 13.4004 38.3988 63.633 2.57224
28.5 13.4475 38.3818 63.6261 2.58917
28.6 13.4945 38.3648 63.6189 2.60616
28.7 13.5416 38.3478 63.6114 2.6232
28.8 13.5887 38.3307 63.6037 2.6403
28.9 13.6357 38.3136 63.5957 2.65745
29 13.6828 38.2963 63.5874 2.67465
29.1 13.7299 38.2791 63.5788 2.69191
29.2 13.7769 38.2618 63.57 2.70922
29.3 13.824 38.2444 63.5609 2.72659
29.4 13.871 38.227 63.5516 2.74401
29.5 13.9181 38.2095 63.542 2.76149
29.6 13.9652 38.192 63.5321 2.77902
29.7 14.0122 38.1744 63.522 2.7966
29.8 14.0593 38.1568 63.5117 2.81424
29.9 14.1063 38.1391 63.501 2.83193
30 14.1534 38.1213 63.4902 2.84967
30.1 14.2004 38.1035 63.4791 2.86747
30.2 14.2475 38.0857 63.4678 2.88532
30.3 14.2945 38.0678 63.4562 2.90323
30.4 14.3416 38.0498 63.4444 2.92119
30.5 14.3886 38.0318 63.4323 2.9392
30.6 14.4357 38.0137 63.42 2.95727
30.7 14.4827 37.9956 63.4075 2.97539
30.8 14.5297 37.9774 63.3948 2.99356
30.9 14.5768 37.9592 63.3818 3.01179
31 14.6238 37.9409 63.3686 3.03006
31.1 14.6709 37.9226 63.3552 3.0484
31.2 14.7179 37.9042 63.3416 3.06678
31.3 14.7649 37.8858 63.3277 3.08522
31.4 14.812 37.8673 63.3137 3.10371
31.5 14.859 37.8487 63.2994 3.12226
31.6 14.906 37.8301 63.2849 3.14086
31.7 14.953 37.8115 63.2702 3.15951
31.8 15.0001 37.7928 63.2553 3.17821
31.9 15.0471 37.774 63.2402 3.19696
32 15.0941 37.7552 63.2248 3.21577
32.1 15.1411 37.7364 63.2093 3.23463
32.2 15.1882 37.7175 63.1936 3.25355
32.3 15.2352 37.6985 63.1777 3.27251
32.4 15.2822 37.6795 63.1615 3.29153
32.5 15.3292 37.6604 63.1452 3.3106
32.6 15.3762 37.6413 63.1287 3.32973
32.7 15.4233 37.6221 63.112 3.3489
32.8 15.4703 37.6029 63.0951 3.36813
32.9 15.5173 37.5836 63.078 3.38741
33 15.5643 37.5643 63.0608 3.40674
33.1 15.6113 37.5449 63.0433 3.42613
33.2 15.6583 37.5254 63.0257 3.44556
33.3 15.7053 37.5059 63.0078 3.46505
33.4 15.7523 37.4864 62.9898 3.48459
33.5 15.7993 37.4668 62.9717 3.50418
33.6 15.8463 37.4472 62.9533 3.52383
33.7 15.8933 37.4275 62.9348 3.54352
33.8 15.9403 37.4077 62.9161 3.56327
33.9 15.9873 37.3879 62.8972 3.58307
34 16.0343 37.3681 62.8781 3.60292
34.1 16.0813 37.3482 62.8589 3.62282
34.2 16.1283 37.3282 62.8395 3.64277
34.3 16.1753 37.3082 62.8199 3.66277
34.4 16.2223 37.2882 62.8002 3.68283
34.5 16.2693 37.2681 62.7803 3.70293
34.6 16.3162 37.2479 62.7602 3.72309
34.7 16.3632 37.2277 62.74 3.7433
34.8 16.4102 37.2074 62.7196 3.76356
34.9 16.4572 37.1871 62.6991 3.78387
35 16.5042 37.1668 62.6784 3.80423
35.1 16.5512 37.1464 62.6576 3.82464
35.2 16.5981 37.1259 62.6365 3.84511
35.3 16.6451 37.1054 62.6154 3.86562
35.4 16.6921 37.0848 62.5941 3.88618
35.5 16.739 37.0642 62.5726 3.9068
35.6 16.786 37.0435 62.551 3.92746
35.7 16.833 37.0228 62.5292 3.94818
35.8 16.88 37.0021 62.5073 3.96894
35.9 16.9269 36.9812 62.4852 3.98976
36 16.9739 36.9604 62.463 4.01063
36.1 17.0208 36.9395 62.4407 4.03154
36.2 17.0678 36.9185 62.4182 4.05251
36.3 17.1148 36.8975 62.3955 4.07353
36.4 17.1617 36.8764 62.3727 4.09459
36.5 17.2087 36.8553 62.3498 4.11571
36.6 17.2556 36.8341 62.3268 4.13688
36.7 17.3026 36.8129 62.3036 4.15809
36.8 17.3495 36.7916 62.2802 4.17936
36.9 17.3965 36.7703 62.2568 4.20068
37 17.4434 36.749 62.2332 4.22204
