#kinematics calculation of gsgs
#vertex z = 750 mm, E_reaction = 13.621 MeV
#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 13.621 180 0
0.1 0.0499848 13.621 89.95 1.0373e-05
0.2 0.0999695 13.621 89.9 4.14919e-05
0.3 0.149954 13.6209 89.85 9.33566e-05
0.4 0.199939 13.6208 89.7999 0.000165967
0.5 0.249924 13.6207 89.7499 0.000259323
0.6 0.299909 13.6206 89.6999 0.000373424
0.7 0.349893 13.6205 89.6499 0.00050827
0.8 0.399878 13.6203 89.5999 0.00066386
0.9 0.449863 13.6202 89.5499 0.000840194
1 0.499848 13.62 89.4998 0.00103727
1.1 0.549832 13.6197 89.4498 0.00125509
1.2 0.599817 13.6195 89.3998 0.00149366
1.3 0.649802 13.6192 89.3498 0.00175296
1.4 0.699787 13.619 89.2998 0.002033
1.5 0.749772 13.6187 89.2498 0.00233379
1.6 0.799756 13.6183 89.1998 0.00265531
1.7 0.849741 13.618 89.1497 0.00299757
1.8 0.899726 13.6176 89.0997 0.00336057
1.9 0.949711 13.6173 89.0497 0.0037443
2 0.999695 13.6169 88.9997 0.00414877
2.1 1.04968 13.6164 88.9497 0.00457397
2.2 1.09967 13.616 88.8997 0.00501991
2.3 1.14965 13.6155 88.8496 0.00548657
2.4 1.19963 13.615 88.7996 0.00597397
2.5 1.24962 13.6145 88.7496 0.00648209
2.6 1.2996 13.614 88.6996 0.00701093
2.7 1.34959 13.6134 88.6496 0.00756051
2.8 1.39957 13.6129 88.5996 0.0081308
2.9 1.44956 13.6123 88.5496 0.00872182
3 1.49954 13.6117 88.4995 0.00933355
3.1 1.54953 13.611 88.4495 0.00996601
3.2 1.59951 13.6104 88.3995 0.0106192
3.3 1.6495 13.6097 88.3495 0.0112931
3.4 1.69948 13.609 88.2995 0.0119877
3.5 1.74947 13.6083 88.2495 0.012703
3.6 1.79945 13.6076 88.1995 0.013439
3.7 1.84944 13.6068 88.1494 0.0141957
3.8 1.89942 13.606 88.0994 0.0149731
3.9 1.94941 13.6052 88.0494 0.0157712
4 1.99939 13.6044 87.9994 0.01659
4.1 2.04938 13.6036 87.9494 0.0174295
4.2 2.09936 13.6027 87.8994 0.0182898
4.3 2.14935 13.6018 87.8493 0.0191706
4.4 2.19933 13.6009 87.7993 0.0200722
4.5 2.24932 13.6 87.7493 0.0209945
4.6 2.2993 13.5991 87.6993 0.0219374
4.7 2.34929 13.5981 87.6493 0.0229011
4.8 2.39927 13.5971 87.5993 0.0238854
4.9 2.44925 13.5961 87.5493 0.0248904
5 2.49924 13.5951 87.4992 0.025916
5.1 2.54922 13.594 87.4492 0.0269623
5.2 2.59921 13.593 87.3992 0.0280293
5.3 2.64919 13.5919 87.3492 0.0291169
5.4 2.69918 13.5908 87.2992 0.0302252
5.5 2.74916 13.5896 87.2492 0.0313542
5.6 2.79915 13.5885 87.1991 0.0325038
5.7 2.84913 13.5873 87.1491 0.033674
5.8 2.89912 13.5861 87.0991 0.0348649
5.9 2.9491 13.5849 87.0491 0.0360765
6 2.99909 13.5837 86.9991 0.0373086
6.1 3.04907 13.5824 86.9491 0.0385614
6.2 3.09906 13.5812 86.8991 0.0398349
6.3 3.14904 13.5799 86.849 0.0411289
6.4 3.19903 13.5786 86.799 0.0424436
6.5 3.24901 13.5772 86.749 0.0437789
6.6 3.299 13.5759 86.699 0.0451348
6.7 3.34898 13.5745 86.649 0.0465113
6.8 3.39897 13.5731 86.599 0.0479084
6.9 3.44895 13.5717 86.549 0.0493261
7 3.49894 13.5702 86.4989 0.0507644
7.1 3.54892 13.5688 86.4489 0.0522233
7.2 3.59891 13.5673 86.3989 0.0537028
7.3 3.64889 13.5658 86.3489 0.0552029
7.4 3.69888 13.5643 86.2989 0.0567235
7.5 3.74886 13.5627 86.2489 0.0582648
7.6 3.79885 13.5612 86.1988 0.0598266
7.7 3.84883 13.5596 86.1488 0.0614089
7.8 3.89882 13.558 86.0988 0.0630118
7.9 3.9488 13.5564 86.0488 0.0646353
8 3.99879 13.5547 85.9988 0.0662793
8.1 4.04877 13.5531 85.9488 0.0679439
8.2 4.09876 13.5514 85.8988 0.069629
8.3 4.14874 13.5497 85.8487 0.0713346
8.4 4.19873 13.5479 85.7987 0.0730608
8.5 4.24871 13.5462 85.7487 0.0748075
8.6 4.2987 13.5444 85.6987 0.0765747
8.7 4.34868 13.5426 85.6487 0.0783624
8.8 4.39867 13.5408 85.5987 0.0801706
8.9 4.44865 13.539 85.5486 0.0819993
9 4.49863 13.5372 85.4986 0.0838486
9.1 4.54862 13.5353 85.4486 0.0857183
9.2 4.5986 13.5334 85.3986 0.0876085
9.3 4.64859 13.5315 85.3486 0.0895191
9.4 4.69857 13.5295 85.2986 0.0914503
9.5 4.74856 13.5276 85.2486 0.0934019
9.6 4.79854 13.5256 85.1985 0.095374
9.7 4.84853 13.5236 85.1485 0.0973665
9.8 4.89851 13.5216 85.0985 0.0993795
9.9 4.9485 13.5196 85.0485 0.101413
10 4.99848 13.5175 84.9985 0.103467
10.1 5.04847 13.5155 84.9485 0.105541
10.2 5.09845 13.5134 84.8985 0.107636
10.3 5.14844 13.5112 84.8484 0.109751
10.4 5.19842 13.5091 84.7984 0.111886
10.5 5.24841 13.507 84.7484 0.114042
10.6 5.29839 13.5048 84.6984 0.116219
10.7 5.34838 13.5026 84.6484 0.118416
10.8 5.39836 13.5004 84.5984 0.120633
10.9 5.44835 13.4981 84.5483 0.12287
11 5.49834 13.4959 84.4983 0.125128
11.1 5.54832 13.4936 84.4483 0.127406
11.2 5.59831 13.4913 84.3983 0.129705
11.3 5.64829 13.489 84.3483 0.132024
11.4 5.69828 13.4866 84.2983 0.134363
11.5 5.74826 13.4843 84.2483 0.136723
11.6 5.79825 13.4819 84.1982 0.139103
11.7 5.84823 13.4795 84.1482 0.141503
11.8 5.89822 13.4771 84.0982 0.143924
11.9 5.9482 13.4746 84.0482 0.146365
12 5.99819 13.4722 83.9982 0.148826
12.1 6.04817 13.4697 83.9482 0.151307
12.2 6.09816 13.4672 83.8982 0.153809
12.3 6.14814 13.4647 83.8481 0.156331
12.4 6.19813 13.4621 83.7981 0.158873
12.5 6.24811 13.4596 83.7481 0.161436
12.6 6.2981 13.457 83.6981 0.164019
12.7 6.34808 13.4544 83.6481 0.166622
12.8 6.39807 13.4518 83.5981 0.169245
12.9 6.44805 13.4491 83.5481 0.171889
13 6.49804 13.4464 83.498 0.174553
13.1 6.54802 13.4438 83.448 0.177237
13.2 6.59801 13.4411 83.398 0.179941
13.3 6.64799 13.4383 83.348 0.182665
13.4 6.69798 13.4356 83.298 0.18541
13.5 6.74796 13.4328 83.248 0.188175
13.6 6.79795 13.43 83.1979 0.19096
