#energy[MeV] rangemin[mm] rangemax[mm] crosssection[ub] stat[ub] syst[ub]
#energy is Ecm
#emin/max is the range of ecm
#rangemin/max is the width of depth in the Ecm
#crossection is hoyle-hoyle decay crossection from fujikawa-san doctor thesis
# stat/syst is error of crossection
17.5 117 122 0 0 0
18 108 114 0 0 0
18.5 100 106 0 0 0
19 92 99 1.9 0.635 2.57
19.2 89 95 1.75 0.505 2.08
19.4 86 92 3.49 0.745 2.32
19.5 84 90 2.32 0.773 2.46
19.6 82 89 3.38 0.69 1.38
19.8 79 85 4.8 0.811 0.884
20 76 80 7.24 1.05 4.29
20.2 72 78 8.81 1.07 1.11
20.5 67 73 12.7 1.66 5.46
20.8 62 68 13.7 1.21 2
21 58 64 18.7 1.51 4.97
21.2 55 61 21.2 1.4 4.91
21.5 50 56 34 2.3 5.2
21.8 45 50 45.7 1.95 5.42
22 41 47 51.1 2.24 9.65
22.2 38 43 62.9 2.23 7.31
22.5 32 37 61.6 3.39 0.962
22.8 27 30 63.5 2.28 11.8
23 24 28 59.6 2.56 6.77
23.2 20 24 52.5 2.13 5.87
23.5 14 19 54.6 3.14 8.27
24 5 9 36 2.45 6.41
24.5 0 2 32.5 2.24 6.11
25 0 0 47.9 2.82 5.77
