#energy[MeV] dz[mm] crosssection[ub] stat[ub] syst[ub]
#energy is Ecm
#emin/max is the range of ecm
#dz is the width of depth in the Ecm
#crossection is hoyle-hoyle decay crossection from fujikawa-san doctor thesis
# stat/syst is error of crossection
17.5 0 0 0 0
18 0 0 0 0
18.5 0 0 0 0
19 16.4 1.9 0.635 2.57
19.2 1.65 1.75 0.505 2.08
19.4 1.66 3.49 0.745 2.32
19.5 1.66 2.32 0.773 2.46
19.6 1.67 3.38 0.69 1.38
19.8 1.68 4.8 0.811 0.884
20 1.69 7.24 1.05 4.29
20.2 1.70 8.81 1.07 1.11
20.5 1.71 12.7 1.66 5.46
20.8 1.73 13.7 1.21 2
21 1.74 18.7 1.51 4.97
21.2 1.75 21.2 1.4 4.91
21.5 1.77 34 2.3 5.2
21.8 1.78 45.7 1.95 5.42
22 1.79 51.1 2.24 9.65
22.2 1.80 62.9 2.23 7.31
22.5 1.82 61.6 3.39 0.962
22.8 1.83 63.5 2.28 11.8
23 1.84 59.6 2.56 6.77
23.2 1.85 52.5 2.13 5.87
23.5 1.86 54.6 3.14 8.27
24 1.88 36 2.45 6.41
24.5 0 32.5 2.24 6.11
25 0 47.9 2.82 5.77
