#energy[MeV] dz[mm] crosssection[ub] stat[ub] syst[ub]
#energy is Ecm
#emin/max is the range of ecm
#dz is the width of depth in the Ecm
#crossection is hoyle-hoyle decay crossection from fujikawa-san doctor thesis
# stat/syst is error of crossection
17.5 1.56 614 8.32 40.8
18.0 1.58 781 9.51 49.4
18.5 1.61 887 9.41 58.0
19.0 1.64 732 6.40 70.4 
19.2 1.65 685 5.54 71.0
19.4 1.66 843 6.59 88.1
19.5 1.66 848 8.84 63.2
19.6 1.67 830 6.71 77.7
19.8 1.68 727 6.61 81.9
20.0 1.69 760 7.64 91.8
20.2 1.70 894 7.56 89.1
20.5 1.71 922 10.1 33.1
20.8 1.73 1110 7.67 104
21.0 1.74 1090 8.42 95.7
21.2 1.75 1140 7.60 118
21.5 1.77 1260 11.4 83.8
21.8 1.78 986 7.07 109
22.0 1.79 932 8.18 106
22.2 1.80 885 6.89 70.6
22.5 1.82 857 11.4 63.6
22.8 1.83 646 6.00 66.3
23.0 1.84 673 7.55 54.9
23.2 1.85 856 7.33 92.6
23.5 1.86 1090 12.6 80.1
24.0 1.88 1180 12.6 97.1
24.5 0.00 1240 12.6 81.2
25.0 0.00 1130 12.3 92.2
