cobo,asad,aget,aget channel
7,2,1,10
7,2,1,12
7,2,1,13
7,2,1,14
7,2,1,15
7,2,1,16
7,2,1,17
7,2,1,18
7,2,1,19
7,2,1,20
7,2,1,21
7,2,1,23
7,2,1,24
7,2,1,25
7,2,1,26
7,2,1,27
7,2,1,28
7,2,1,29
7,2,1,30
7,2,1,31
7,2,1,32
7,2,1,33
7,2,1,34
7,2,1,35
7,2,1,36
7,2,1,37
7,2,1,38
7,2,1,39
7,2,1,40
7,2,1,41
7,2,1,42
7,2,1,43
7,2,1,44
7,2,1,46
7,2,1,47
7,2,1,48
7,2,1,49
7,2,1,50
7,2,1,51
7,2,1,52
7,2,1,53
7,2,1,54
7,2,1,55
7,2,1,57
7,2,1,58
7,2,1,59
7,2,1,60
7,2,1,61
7,2,1,62
7,2,1,63
7,2,1,64
7,2,1,65
7,2,1,66
7,2,1,67
7,2,0,0
7,2,0,1
7,2,0,2
7,2,0,3
7,2,0,4
7,2,0,5
7,2,0,6
7,2,0,7
7,2,0,8
7,2,0,9
7,2,0,10
7,2,0,12
7,2,0,13
7,2,0,14
7,2,0,15
7,2,0,16
7,2,0,17
7,2,0,18
7,2,0,19
7,2,0,20
7,2,0,21
7,2,0,23
7,2,0,24
7,2,0,25
7,2,0,26
7,2,0,27
7,2,0,28
7,2,0,29
7,2,0,30
7,2,0,31
7,2,0,32
7,2,0,33
7,2,0,34
7,2,0,35
7,2,0,36
7,2,0,37
7,2,0,38
7,2,0,39
7,2,0,40
7,2,0,41
7,2,0,42
7,2,0,43
7,2,0,44
7,2,0,46
7,2,0,47
7,2,0,48
7,2,0,49
7,2,0,50
7,2,0,51
7,2,0,52
7,2,0,53
7,2,0,54
7,2,0,55
7,2,0,57
7,2,0,58
7,2,0,59
7,2,0,60
7,2,0,61
7,2,0,62
7,2,0,63
7,2,0,64
7,2,0,65
7,2,0,66
7,2,0,67
7,2,3,0
7,2,3,1
7,2,3,2
7,2,3,3
7,2,3,4
7,2,3,5
7,2,3,6
7,2,3,7
7,2,3,8
7,2,3,9
7,2,3,10
7,2,3,12
7,2,3,13
7,2,3,14
7,2,3,15
7,2,3,16
7,2,3,17
7,2,3,18
7,2,3,19
7,2,3,20
7,2,3,21
7,2,3,23
7,2,3,24
7,2,3,25
7,2,3,26
7,2,3,27
7,2,3,28
7,2,3,29
7,2,3,30
7,2,3,31
7,2,3,32
7,2,3,33
7,2,3,34
7,2,3,35
7,2,3,36
7,2,3,37
7,2,3,38
7,2,3,39
7,2,3,40
7,2,3,41
7,2,3,42
7,2,3,43
7,2,3,44
7,2,3,46
7,2,3,47
7,2,3,48
7,2,3,49
7,2,3,50
7,2,3,51
7,2,3,52
7,2,3,53
7,2,3,54
7,2,3,55
7,2,3,57
7,2,3,58
7,2,3,59
7,2,3,60
7,2,3,61
7,2,3,62
7,2,3,63
7,2,3,64
7,2,3,65
7,2,3,66
7,2,3,67
7,2,2,0
7,2,2,1
7,2,2,2
7,2,2,3
7,2,2,4
7,2,2,5
7,2,2,6
7,2,2,7
7,2,2,8
7,2,2,9
7,2,2,10
7,2,2,12
7,2,2,13
7,2,2,14
7,2,2,15
7,2,2,16
7,2,2,17
7,2,2,18
7,2,2,19
7,2,2,20
7,2,2,21
7,2,2,23
7,2,2,24
7,2,2,25
7,2,2,26
7,2,2,27
7,2,2,28
7,2,2,29
7,2,2,30
7,2,2,31
7,2,2,32
7,2,2,33
7,2,2,34
7,2,2,35
7,2,2,36
